Gender,Age,MonthlyCharges,TotalCharges,TenureMonths,SupportTickets,Churn,ChargesPerMonth,TicketsPerMonth,HighSupport,ShortTenure,IsMonthly,ChargeToAge,Country_Egypt,Country_Kuwait,Country_Saudi Arabia,Country_UAE,SubscriptionType_Basic,SubscriptionType_Premium,SubscriptionType_Standard,ContractType_Monthly,ContractType_Yearly,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Visa,TenureBucket_0-6,TenureBucket_13-24,TenureBucket_25+,TenureBucket_7-12
1,21,279,5859,21,5,1,266.3181818181818,0.22727272727272727,1,0,1,13.285714285714286,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
0,28,113,1695,15,4,0,105.9375,0.25,1,0,1,4.035714285714286,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,33,180,3420,19,7,1,171.0,0.35,1,0,1,5.454545454545454,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,59,129,3354,26,4,1,124.22222222222223,0.14814814814814814,1,0,1,2.1864406779661016,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
0,21,101,2323,23,7,1,96.79166666666667,0.2916666666666667,1,0,0,4.809523809523809,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,63,89,801,9,8,0,80.1,0.8,1,0,0,1.4126984126984128,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,34,99,2277,23,0,0,94.875,0.0,0,0,0,2.911764705882353,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
1,38,140,2240,16,0,0,131.76470588235293,0.0,0,0,0,3.6842105263157894,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
0,45,241,7471,31,0,0,233.46875,0.0,0,0,1,5.355555555555555,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1,62,220,6160,28,2,1,212.41379310344828,0.06896551724137931,0,0,1,3.5483870967741935,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,39,129,1935,15,8,0,120.9375,0.5,1,0,0,3.3076923076923075,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,45,105,2205,21,8,1,100.22727272727273,0.36363636363636365,1,0,0,2.3333333333333335,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,40,196,6468,33,6,1,190.23529411764707,0.17647058823529413,1,0,1,4.9,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,23,111,1221,11,5,1,101.75,0.4166666666666667,1,0,1,4.826086956521739,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,28,110,880,8,6,0,97.77777777777777,0.6666666666666666,1,0,0,3.9285714285714284,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,48,94,2068,22,7,1,89.91304347826087,0.30434782608695654,1,0,1,1.9583333333333333,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
0,35,276,8280,30,6,0,267.0967741935484,0.1935483870967742,1,0,0,7.885714285714286,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,24,194,6208,32,5,1,188.12121212121212,0.15151515151515152,1,0,1,8.083333333333334,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,58,270,6750,25,7,0,259.61538461538464,0.2692307692307692,1,0,0,4.655172413793103,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
0,33,97,1067,11,8,0,88.91666666666667,0.6666666666666666,1,0,1,2.9393939393939394,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,59,195,780,4,8,0,156.0,1.6,1,1,0,3.305084745762712,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
1,27,188,3196,17,8,0,177.55555555555554,0.4444444444444444,1,0,1,6.962962962962963,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,39,205,1025,5,8,0,170.83333333333334,1.3333333333333333,1,1,0,5.256410256410256,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
0,36,315,11025,35,8,0,306.25,0.2222222222222222,1,0,0,8.75,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,23,84,672,8,6,0,74.66666666666667,0.6666666666666666,1,0,1,3.652173913043478,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,64,192,1920,10,2,0,174.54545454545453,0.18181818181818182,0,0,0,3.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,43,104,3536,34,8,0,101.02857142857142,0.22857142857142856,1,0,1,2.4186046511627906,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
1,59,180,900,5,4,0,150.0,0.6666666666666666,1,1,1,3.0508474576271185,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
0,22,251,7530,30,5,1,242.90322580645162,0.16129032258064516,1,0,0,11.409090909090908,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,62,114,1710,15,8,0,106.875,0.5,1,0,0,1.8387096774193548,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,20,214,5136,24,7,1,205.44,0.28,1,0,1,10.7,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
0,56,163,5379,33,2,0,158.2058823529412,0.058823529411764705,0,0,0,2.9107142857142856,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0
0,46,292,7592,26,3,0,281.18518518518516,0.1111111111111111,1,0,1,6.3478260869565215,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
1,58,126,3024,24,1,0,120.96,0.04,0,0,0,2.1724137931034484,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
0,45,165,1650,10,0,0,150.0,0.0,0,0,0,3.6666666666666665,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,65,160,5280,33,0,0,155.2941176470588,0.0,0,0,0,2.4615384615384617,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1,52,275,8250,30,6,1,266.1290322580645,0.1935483870967742,1,0,0,5.288461538461538,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,64,315,1890,6,3,0,270.0,0.42857142857142855,1,1,1,4.921875,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
0,23,205,3895,19,3,1,194.75,0.15,1,0,1,8.91304347826087,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
0,51,316,11376,36,3,0,307.4594594594595,0.08108108108108109,1,0,1,6.196078431372549,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,62,112,2464,22,7,1,107.1304347826087,0.30434782608695654,1,0,1,1.8064516129032258,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
1,24,101,2525,25,3,0,97.11538461538461,0.11538461538461539,1,0,0,4.208333333333333,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
1,20,106,636,6,4,0,90.85714285714286,0.5714285714285714,1,1,0,5.3,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,46,252,2268,9,0,0,226.8,0.0,0,0,1,5.478260869565218,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
0,39,122,1708,14,8,0,113.86666666666666,0.5333333333333333,1,0,1,3.128205128205128,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
1,48,119,833,7,1,0,104.125,0.125,0,0,0,2.4791666666666665,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,38,287,3731,13,8,1,266.5,0.5714285714285714,1,0,1,7.552631578947368,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1,62,191,3629,19,0,0,181.45,0.0,0,0,0,3.0806451612903225,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
0,43,195,390,2,3,1,130.0,1.0,1,1,1,4.534883720930233,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
1,23,213,639,3,2,1,159.75,0.5,0,1,0,9.26086956521739,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
0,32,208,1664,8,7,1,184.88888888888889,0.7777777777777778,1,0,1,6.5,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
0,18,210,6300,30,5,1,203.2258064516129,0.16129032258064516,1,0,1,11.666666666666666,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,21,295,2360,8,1,1,262.22222222222223,0.1111111111111111,0,0,0,14.047619047619047,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
0,47,114,1482,13,5,0,105.85714285714286,0.35714285714285715,1,0,0,2.425531914893617,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
0,22,183,4026,22,3,1,175.04347826086956,0.13043478260869565,1,0,0,8.318181818181818,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
1,54,234,8190,35,7,0,227.5,0.19444444444444445,1,0,0,4.333333333333333,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,45,193,5983,31,0,0,186.96875,0.0,0,0,0,4.288888888888889,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,23,121,1815,15,0,1,113.4375,0.0,0,0,0,5.260869565217392,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
1,63,102,2958,29,7,0,98.6,0.23333333333333334,1,0,0,1.619047619047619,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,18,187,4675,25,3,0,179.80769230769232,0.11538461538461539,1,0,0,10.38888888888889,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,32,296,5920,20,2,0,281.9047619047619,0.09523809523809523,0,0,0,9.25,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
0,62,268,1072,4,5,1,214.4,1.0,1,1,0,4.32258064516129,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
1,29,232,6032,26,1,0,223.40740740740742,0.037037037037037035,0,0,0,8.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,31,299,9568,32,3,0,289.93939393939394,0.09090909090909091,1,0,1,9.64516129032258,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,41,162,4536,28,0,0,156.41379310344828,0.0,0,0,0,3.951219512195122,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1,25,214,5564,26,7,0,206.07407407407408,0.25925925925925924,1,0,0,8.56,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,65,125,1125,9,4,1,112.5,0.4,1,0,1,1.9230769230769231,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,57,95,1995,21,5,1,90.68181818181819,0.22727272727272727,1,0,1,1.6666666666666667,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
1,40,205,1230,6,5,0,175.71428571428572,0.7142857142857143,1,1,0,5.125,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
0,56,188,1316,7,8,0,164.5,1.0,1,0,0,3.357142857142857,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
0,51,190,1900,10,5,0,172.72727272727272,0.45454545454545453,1,0,1,3.7254901960784315,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
0,58,198,396,2,3,0,132.0,1.0,1,1,1,3.413793103448276,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
0,35,186,4092,22,8,1,177.91304347826087,0.34782608695652173,1,0,1,5.314285714285714,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
0,45,239,4302,18,5,1,226.42105263157896,0.2631578947368421,1,0,1,5.311111111111111,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
0,31,83,1162,14,7,1,77.46666666666667,0.4666666666666667,1,0,0,2.6774193548387095,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,61,301,5418,18,0,0,285.1578947368421,0.0,0,0,0,4.934426229508197,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
0,49,120,4200,35,4,0,116.66666666666667,0.1111111111111111,1,0,0,2.4489795918367347,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,50,291,3492,12,2,0,268.61538461538464,0.15384615384615385,0,0,1,5.82,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1,40,121,2904,24,6,1,116.16,0.24,1,0,1,3.025,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,33,260,3640,14,0,1,242.66666666666666,0.0,0,0,0,7.878787878787879,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
1,51,276,3036,11,2,0,253.0,0.16666666666666666,0,0,1,5.411764705882353,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,39,96,2976,31,1,0,93.0,0.03125,0,0,0,2.4615384615384617,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
1,55,115,3910,34,1,0,111.71428571428571,0.02857142857142857,0,0,0,2.090909090909091,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
1,30,129,2193,17,3,0,121.83333333333333,0.16666666666666666,1,0,0,4.3,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,29,296,5920,20,6,0,281.9047619047619,0.2857142857142857,1,0,0,10.206896551724139,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
0,55,308,4312,14,2,1,287.46666666666664,0.13333333333333333,0,0,1,5.6,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1,34,243,3645,15,3,1,227.8125,0.1875,1,0,1,7.147058823529412,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
1,49,319,1595,5,8,0,265.8333333333333,1.3333333333333333,1,1,0,6.510204081632653,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,41,130,1950,15,8,1,121.875,0.5,1,0,1,3.1707317073170733,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
0,42,177,5310,30,3,0,171.29032258064515,0.0967741935483871,1,0,1,4.214285714285714,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,36,93,1860,20,8,1,88.57142857142857,0.38095238095238093,1,0,1,2.5833333333333335,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
1,37,216,1296,6,7,1,185.14285714285714,1.0,1,1,1,5.837837837837838,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
0,44,242,5082,21,8,1,231.0,0.36363636363636365,1,0,1,5.5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
0,20,178,4984,28,2,0,171.86206896551724,0.06896551724137931,0,0,0,8.9,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,46,193,3088,16,8,0,181.64705882352942,0.47058823529411764,1,0,1,4.195652173913044,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1,46,177,2832,16,6,1,166.58823529411765,0.35294117647058826,1,0,1,3.847826086956522,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1,32,219,6351,29,3,0,211.7,0.1,1,0,0,6.84375,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,27,192,2880,15,6,1,180.0,0.375,1,0,1,7.111111111111111,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,22,163,2934,18,3,1,154.42105263157896,0.15789473684210525,1,0,1,7.409090909090909,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,51,109,872,8,8,1,96.88888888888889,0.8888888888888888,1,0,1,2.1372549019607843,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,59,212,5088,24,2,0,203.52,0.08,0,0,1,3.593220338983051,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
0,24,281,5620,20,6,0,267.6190476190476,0.2857142857142857,1,0,1,11.708333333333334,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
1,44,167,1002,6,1,1,143.14285714285714,0.14285714285714285,0,1,1,3.7954545454545454,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
0,46,145,2610,18,6,1,137.3684210526316,0.3157894736842105,1,0,0,3.152173913043478,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,32,209,1672,8,6,1,185.77777777777777,0.6666666666666666,1,0,1,6.53125,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
1,37,96,768,8,1,0,85.33333333333333,0.1111111111111111,0,0,0,2.5945945945945947,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,56,310,9300,30,8,0,300.0,0.25806451612903225,1,0,0,5.535714285714286,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,61,158,1580,10,5,0,143.63636363636363,0.45454545454545453,1,0,0,2.5901639344262297,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,29,102,2652,26,3,0,98.22222222222223,0.1111111111111111,1,0,0,3.5172413793103448,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
1,50,82,82,1,0,1,41.0,0.0,0,1,1,1.64,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
0,53,308,10780,35,5,0,299.44444444444446,0.1388888888888889,1,0,1,5.811320754716981,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,38,120,3840,32,6,1,116.36363636363636,0.18181818181818182,1,0,1,3.1578947368421053,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
1,43,213,4473,21,5,0,203.3181818181818,0.22727272727272727,1,0,0,4.953488372093023,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
0,64,218,3270,15,4,0,204.375,0.25,1,0,0,3.40625,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1,18,113,226,2,4,0,75.33333333333333,1.3333333333333333,1,1,1,6.277777777777778,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
0,21,114,2622,23,0,0,109.25,0.0,0,0,0,5.428571428571429,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
0,42,95,3040,32,7,1,92.12121212121212,0.21212121212121213,1,0,1,2.261904761904762,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,33,105,1260,12,2,0,96.92307692307692,0.15384615384615385,0,0,0,3.1818181818181817,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,19,175,1050,6,7,0,150.0,1.0,1,1,1,9.210526315789474,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
1,44,181,2896,16,5,1,170.35294117647058,0.29411764705882354,1,0,1,4.113636363636363,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,22,161,322,2,6,1,107.33333333333333,2.0,1,1,1,7.318181818181818,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
1,31,251,7781,31,3,1,243.15625,0.09375,1,0,1,8.096774193548388,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,50,168,2856,17,1,1,158.66666666666666,0.05555555555555555,0,0,0,3.36,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1,52,277,831,3,8,1,207.75,2.0,1,1,1,5.326923076923077,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
0,40,201,3819,19,8,0,190.95,0.4,1,0,0,5.025,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
0,53,237,948,4,3,0,189.6,0.6,1,1,0,4.471698113207547,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,62,201,2412,12,1,0,185.53846153846155,0.07692307692307693,0,0,1,3.2419354838709675,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,43,105,3360,32,2,0,101.81818181818181,0.06060606060606061,0,0,0,2.441860465116279,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
1,18,101,3030,30,5,0,97.74193548387096,0.16129032258064516,1,0,0,5.611111111111111,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
1,62,247,6175,25,8,0,237.5,0.3076923076923077,1,0,0,3.9838709677419355,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
1,62,208,1040,5,0,1,173.33333333333334,0.0,0,1,0,3.3548387096774195,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
1,48,301,6321,21,5,0,287.3181818181818,0.22727272727272727,1,0,0,6.270833333333333,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1,48,146,1314,9,8,0,131.4,0.8,1,0,0,3.0416666666666665,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1,18,178,5340,30,5,1,172.25806451612902,0.16129032258064516,1,0,1,9.88888888888889,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,33,293,586,2,1,0,195.33333333333334,0.3333333333333333,0,1,0,8.878787878787879,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
0,31,109,3706,34,1,1,105.88571428571429,0.02857142857142857,0,0,1,3.5161290322580645,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,27,163,978,6,3,0,139.71428571428572,0.42857142857142855,1,1,0,6.037037037037037,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,58,157,3140,20,8,0,149.52380952380952,0.38095238095238093,1,0,0,2.706896551724138,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
1,65,303,5151,17,1,0,286.1666666666667,0.05555555555555555,0,0,0,4.661538461538462,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1,49,121,4235,35,0,1,117.63888888888889,0.0,0,0,1,2.4693877551020407,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1,34,280,6720,24,2,0,268.8,0.08,0,0,0,8.235294117647058,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1,38,118,1062,9,4,1,106.2,0.4,1,0,1,3.1052631578947367,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
1,26,104,208,2,8,1,69.33333333333333,2.6666666666666665,1,1,0,4.0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
1,53,209,6479,31,2,0,202.46875,0.0625,0,0,0,3.943396226415094,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1,36,153,1989,13,0,0,142.07142857142858,0.0,0,0,1,4.25,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1,27,266,5054,19,0,0,252.7,0.0,0,0,0,9.851851851851851,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
0,63,211,4853,23,3,0,202.20833333333334,0.125,1,0,1,3.3492063492063493,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,65,177,3186,18,2,0,167.68421052631578,0.10526315789473684,0,0,1,2.723076923076923,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
0,18,283,5943,21,2,0,270.1363636363636,0.09090909090909091,0,0,0,15.722222222222221,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
1,28,272,5168,19,0,0,258.4,0.0,0,0,1,9.714285714285714,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
0,39,315,4095,13,3,1,292.5,0.21428571428571427,1,0,1,8.076923076923077,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
0,62,234,936,4,5,0,187.2,1.0,1,1,0,3.774193548387097,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
0,56,269,538,2,8,1,179.33333333333334,2.6666666666666665,1,1,1,4.803571428571429,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
1,18,118,2950,25,0,0,113.46153846153847,0.0,0,0,1,6.555555555555555,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1,32,300,10500,35,0,0,291.6666666666667,0.0,0,0,1,9.375,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1,29,319,9251,29,8,0,308.3666666666667,0.26666666666666666,1,0,0,11.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,64,202,4848,24,5,0,193.92,0.2,1,0,1,3.15625,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
